                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2707,                0.96325,                 1.3137,                0.72271,                0.69116,                0.73341,                0.41311,                 1.2123,                  1.103,                 1.1758,             0.00055534,             0.00055534,             0.00055534
                      1,                 1.2825,                 1.0158,                 1.3184,                0.75048,                0.65982,                0.72615,                0.40274,                 1.2322,                 1.3023,                 1.1612,              0.0010833,              0.0010833,              0.0010833
                      2,                  1.305,                 1.0465,                 1.3287,                0.72322,                0.61487,                 0.6855,                 0.3811,                 1.2456,                 1.1859,                 1.1915,              0.0015834,              0.0015834,              0.0015834
                      3,                 1.2987,                 1.0441,                 1.3271,                0.71616,                0.64271,                0.71168,                0.39424,                 1.2373,                 1.2725,                 1.1695,              0.0015421,              0.0015421,              0.0015421
                      4,                 1.3108,                 1.0664,                 1.3299,                0.71849,                0.66236,                0.71351,                0.39362,                 1.2326,                  1.339,                 1.1817,              0.0015421,              0.0015421,              0.0015421
                      5,                 1.3015,                 1.0501,                 1.3238,                0.70068,                0.65188,                0.71153,                0.39336,                 1.2242,                 1.2999,                 1.1681,              0.0015005,              0.0015005,              0.0015005
                      6,                 1.2823,                 1.0348,                 1.3161,                0.73764,                0.66829,                0.73141,                0.41526,                  1.224,                 1.2104,                 1.1599,              0.0014588,              0.0014588,              0.0014588
                      7,                 1.2829,                 1.0294,                 1.3159,                0.72584,                0.66701,                0.72498,                0.40915,                 1.2128,                 1.3257,                 1.1593,              0.0014172,              0.0014172,              0.0014172
                      8,                 1.2757,                 1.0205,                 1.3125,                0.73684,                0.67174,                0.73975,                0.41885,                 1.2079,                 1.3022,                 1.1507,              0.0013756,              0.0013756,              0.0013756
                      9,                 1.2602,                0.98601,                 1.3024,                0.74958,                0.67643,                0.73826,                0.42003,                 1.2076,                 1.3677,                 1.1599,              0.0013339,              0.0013339,              0.0013339
                     10,                  1.262,                  0.993,                 1.3014,                 0.7294,                0.66549,                0.72301,                0.40615,                 1.2147,                 1.0496,                 1.1515,              0.0012923,              0.0012923,              0.0012923
                     11,                 1.2459,                0.99267,                 1.2938,                0.74264,                0.67383,                0.74273,                0.42335,                 1.2017,                 1.1487,                  1.141,              0.0012507,              0.0012507,              0.0012507
                     12,                 1.2404,                0.96026,                  1.288,                0.72145,                0.68793,                0.73937,                0.42073,                 1.2075,                 1.0763,                 1.1585,               0.001209,               0.001209,               0.001209
                     13,                 1.2344,                0.95182,                 1.2815,                0.73641,                0.68176,                0.74367,                0.42332,                 1.1899,                 1.0857,                 1.1412,              0.0011674,              0.0011674,              0.0011674
                     14,                 1.2258,                 0.9436,                 1.2686,                0.76154,                0.67462,                0.74503,                0.42734,                 1.2028,                 1.0245,                 1.1559,              0.0011258,              0.0011258,              0.0011258
                     15,                  1.218,                0.93161,                 1.2714,                0.75483,                0.67714,                0.74508,                0.42504,                 1.2105,                 1.0113,                 1.1547,              0.0010841,              0.0010841,              0.0010841
                     16,                 1.2086,                0.91531,                  1.266,                0.74456,                0.68992,                0.74851,                0.42704,                 1.1968,                 1.0285,                 1.1553,              0.0010425,              0.0010425,              0.0010425
                     17,                 1.2032,                0.91098,                  1.265,                0.75919,                0.67582,                0.74785,                0.42682,                 1.1945,                0.97791,                 1.1517,              0.0010009,              0.0010009,              0.0010009
                     18,                 1.1924,                0.89634,                 1.2568,                0.75476,                0.68682,                0.75055,                0.43225,                 1.1875,                 1.0308,                 1.1469,             0.00095923,             0.00095923,             0.00095923
                     19,                 1.1785,                0.87842,                  1.245,                0.75084,                0.70334,                0.76052,                0.44111,                 1.1767,                 1.0217,                 1.1325,              0.0009176,              0.0009176,              0.0009176
                     20,                 1.1841,                0.86922,                  1.249,                0.76472,                 0.6903,                0.75952,                0.44023,                 1.1882,                0.93124,                  1.138,             0.00087597,             0.00087597,             0.00087597
                     21,                  1.175,                 0.8676,                  1.241,                0.75528,                0.70159,                0.75535,                0.44037,                  1.183,                 0.9175,                  1.141,             0.00083433,             0.00083433,             0.00083433
                     22,                 1.1679,                 0.8569,                 1.2375,                0.76626,                 0.6956,                0.76078,                0.44088,                 1.1797,                0.95337,                 1.1465,              0.0007927,              0.0007927,              0.0007927
                     23,                 1.1636,                0.85074,                 1.2315,                0.76267,                0.69648,                0.76518,                0.44552,                 1.1809,                0.95284,                 1.1394,             0.00075107,             0.00075107,             0.00075107
                     24,                 1.1541,                0.84771,                 1.2245,                0.75038,                0.70452,                0.76173,                0.44169,                 1.1796,                0.91223,                 1.1428,             0.00070943,             0.00070943,             0.00070943
                     25,                 1.1443,                0.82879,                 1.2205,                0.76271,                 0.7032,                0.76621,                0.44625,                 1.1774,                0.89162,                 1.1486,              0.0006678,              0.0006678,              0.0006678
                     26,                 1.1349,                0.82395,                 1.2173,                 0.7766,                0.69744,                0.76528,                0.44608,                 1.1768,                0.92822,                 1.1384,             0.00062617,             0.00062617,             0.00062617
                     27,                 1.1217,                0.80607,                  1.208,                0.77084,                0.69015,                0.76604,                0.44549,                 1.1806,                0.88849,                 1.1405,             0.00058453,             0.00058453,             0.00058453
                     28,                 1.1161,                0.79284,                 1.2017,                0.77264,                0.69689,                0.76513,                0.44594,                 1.1883,                0.88417,                 1.1457,              0.0005429,              0.0005429,              0.0005429
                     29,                 1.1005,                0.78875,                 1.1992,                0.76668,                0.70708,                0.76553,                0.44682,                 1.1938,                0.88133,                  1.157,             0.00050127,             0.00050127,             0.00050127
                     30,                 1.0849,                0.68637,                 1.1777,                0.78137,                0.69094,                0.76496,                0.44497,                 1.1972,                0.87782,                 1.1601,             0.00045963,             0.00045963,             0.00045963
                     31,                 1.0682,                0.66913,                   1.17,                0.77588,                0.69715,                0.76261,                 0.4432,                 1.1967,                0.87248,                 1.1621,               0.000418,               0.000418,               0.000418
